first_name,last_name,email,phone_number,date_of_birth,gender,national_id
John,Doe,john.doe@example.com,0701234567,1990-05-15,M,CM12345678A
Jane,Smith,jane.smith@example.com,0702345678,1988-03-20,F,CM87654321B
Robert,Johnson,robert.j@example.com,0703456789,1995-07-10,M,CM11223344C
Mary,Williams,mary.williams@example.com,0704567890,1992-11-25,F,CM55667788D
Michael,Brown,m.brown@example.com,0705678901,1985-01-30,M,CM99887766E
Sarah,Davis,sarah.d@example.com,0706789012,1993-09-12,F,CM44332211F
David,Miller,d.miller@example.com,0707890123,1987-04-18,M,CM77554433G
Lisa,Wilson,lisa.wilson@example.com,0708901234,1991-08-22,F,CM22110099H
James,Moore,james.m@example.com,0709012345,1989-02-14,M,CM66335544I
Emily,Taylor,emily.t@example.com,0700123456,1994-06-08,F,CM88776655J
